id|acronym|title|startDate|endDate|totalCost|legalBasis|topics|masterCall|subCall|fundingScheme|objective|grantDoi|cluster
101147312|SAGELI|ADVANCED SAFER MATERIALS AND HIGH PERFORMING CELLS FOR THE NEXT GENERATION OF LI-ION BATTERIES SUITABLE FOR MOBILITY APPLICATIONS|2025-01-01|2027-12-31|4975670,75|HORIZON.2.5|HORIZON-CL5-2023-D2-02-02|HORIZON-CL5-2023-D2-02|HORIZON-CL5-2023-D2-02|HORIZON-RIA|SAGELi aims to develop safer materials and cells that meet Batteries Europe’s 2030 targets for safety, performance, lifetime, sustainability and cost including EUCAR level <3. SAGELi’s new cathode active materials (CAM) contain no Co. They are based on inherently-safe Mn-rich oxides. Additional safety will be ensured by reducing CAMs’ active surface area and an innovative coating. SAGELi’s safer binders target better adhesion, lower swelling and better processability to prevent safety issues from cracking and inhomogeneities. SAGELi’s flame-retardant electrolytes target stability at high voltage. SAGELi’s Flash Thermal Test will predict safety from just a few grams of novel materials, eliminating the need for upscaling to determine safety. SAGELi’s State of Safety Early Prediction Tool will predict EUCAR level during battery operation and ageing. SAGELi’s pouch cells will be demonstrated at 25 mAh and 5 Ah scale, and all SAGELi materials and cells are fully scalable and recyclable via existing processes.The consortium gathers (i) 5 top public research organisations whose previous results have been used in commercial batteries (CEA, FZJ, CNRS, CID, CICe); (ii) 7 companies committed to bringing SAGELi to market in existing and future factories across the EU for sales to customers worldwide: Umicore for CAM, Arkema for binder and electrolyte, Ccell for cells, Power4Future for batteries, FINCANTIERI for electric ships and THALES for electric aircraft equipment; and (ii) EU electromobility association, AVERE.SAGELi’s raw material cost is 23% lower than NMC811. SAGELI’s market penetration in 2030 is expected to generate ~1.4 bn€ of revenues for SAGELi’s EU partners by 2030 and >20.2bn€ in 2035. Its materials are expected to be used in 40GWh of batteries produced in 2030, 600GWh produced in 2035, and 700 GWh produced in 2040, providing a cumulative 1.9Mt C02eq savings vs NMC811. Preliminary LCA also predicts reduced water use, other emissions and land-use vs NMC811.|10.3030/101147312|Cluster 5
101155852|PIPELINE|Pregnancy and Infant PrEparedness pLatform IN Europe|2025-01-01|2028-12-31|0|HORIZON.2.1|HORIZON-HLTH-2024-DISEASE-03-11-two-stage|HORIZON-HLTH-2024-DISEASE-03-two-stage|HORIZON-HLTH-2024-DISEASE-03-two-stage|HORIZON-RIA|Recent epidemics have highlighted how infectious disease outbreaks can severely and sometimes uniquely affect the short and longer term health of pregnant women and their infants. Nevertheless, these groups are invariably excluded from pandemic preparedness and response research, as during the COVID-19 pandemic.  Our ambition is to develop a dedicated pregnancy-infant preparedness platform for adaptive trials, to improve pandemic preparedness for these underserved populations.The objectives of PIPELINE are to: 1) establish a multi-country adaptive trials platform that that can support novel diagnostics, vaccines and therapeutics for infections in pregnancy and infancy, able to pivot rapidly to emerging health threats; 2) create and sustain a responsive and “ever-warm” clinical trial network of sites with expertise in recruiting pregnant women and infants and adaptive trial designs; 3) undertake an adaptive platform trial on respiratory syncytial virus immunisation in pregnant women and infants, to test the platform’s capabilities and address a public health priority for the EU; 4) evaluate novel sampling techniques and immunity approaches with relevance for preparedness; and 5) embed all activities within sustained dissemination, exploitation and communication with key stakeholders to translate results into policy recommendations.We will achieve these objectives through our multidisciplinary partnership with track records in maternal and infant health research, who will leverage and strengthen existing networks to maximise Europe-wide outreach to benefit PIPELINE. Our objectives are aligned with Horizon Europe Work Programme 2023-24 Health Destination 3 “Tackling diseases and reducing disease burden” as our work will reduce the health burden of disease through more effective management, lead to improved preparedness of health systems to respond to health emergencies, and reduce citizens’ risk of, and increase their knowledge about, health threats of epidemics.|10.3030/101155852|Cluster Health
101155955|FluiDx-AD|A novel test trio to detect peptide biomarkers in saliva and blood for enhanced diagnosis and management of Alzheimer's Disease|2024-11-01|2028-04-30|0|HORIZON.2.1|HORIZON-HLTH-2024-DISEASE-03-13-two-stage|HORIZON-HLTH-2024-DISEASE-03-two-stage|HORIZON-HLTH-2024-DISEASE-03-two-stage|HORIZON-RIA|FluiDx-AD aims to transform Alzheimer’s disease (AD) diagnosis and prepare the EU healthcare systems for the emergence of new AD therapies, with a 1st-in-class trio of In Vitro Diagnostics tests.FluiDx-AD tests detect a unique and proprietary suite of biomarkers in simple bodily fluids (saliva, plasma/blood), towards widespread, patient-empowering, and all-inclusive AD diagnosis, at least as accurate as the costly and invasive procedures currently in place.FluiDx-AD tests have the potential to shorten AD diagnosis by 7-15 years, by detecting biomarkers that mark the onset of AD years before the appearance of clinical symptoms. Earlier diagnosis means earlier access to preventive interventions, which are now more effective thanks to next-generation immunotherapies. The clinical use of these new drugs is not consensual though, because of the severe side-effects they inflict in some patients. FluiDx-AD tests offer a pioneering tool to stratify and monitor patients eligible for these drugs, towards reducing their associated risk and accelerating their regulatory clearance in the EU.FluiDx-AD tests are thus devised to work complementarily and sequentially, covering the full AD diagnostic journey (from population-wide screenings to confirmatory diagnosis, and downstream patient stratification and monitoring), tackling key challenges of early AD diagnosis and AD prevention with new drugs, while also paving the way for the development of new therapies by streamlining patient selection and appraisal in clinical trials.FluiDx-AD brings together a team of highly motivated, committed, and reputed entrepreneurs, clinicians, and scientists from biotechs, hospitals, academic centres, and patient organizations across the EU. Leveraging our unique blend of trans-disciplinary/-sectoral expertise and access to advanced technologies and infrastructures, we join forces to realize the vision of a new era of AD clinical management for the benefit of millions of patients globally.|10.3030/101155955|Cluster Health
101138319|ROSAS|RObust simulation Systems exploiting AI based turbulence models and hight-fidelity algorithmS|2025-01-01|2028-06-30|4630603,46|HORIZON.2.5|HORIZON-CL5-2023-D5-01-09|HORIZON-CL5-2023-D5-01|HORIZON-CL5-2023-D5-01|HORIZON-RIA|To meet global EU objectives related to aeronautical industry competitiveness and climate-neutrality, highly advanced design technologies are needed to allow fast and reliable evaluations of innovative configurations. ROSAS  aims at exploiting Artificial Intelligence (AI)/Machine Learning (ML), coupled with recent advances in Computational Fluid Dynamics (CFD) technology and the underlying turbulence modelling to reduce expensive and time-consuming physical testing and drastically accelerate the whole design optimization process.Partners will build a methodology based on defining test cases, targeting the key flow problems encountered in industrial applications and reproducing them precisely in a controlled environment via Hi-Fi simulations or experiments. The results will be gathered in a database which will serve the development and testing of novel data-driven methodologies (AI-ML) and mesh generation algorithms. Improved turbulence models, including multi-fidelity surrogate models with advanced verification and validation process, will be created with modifications based on new theoretical considerations and AI-ML-based modifications, resulting in hybridization of specific turbulence models. In addition, Application Challenge test cases will be defined in relation to Clean Aviation applications to match closely industrial configurations of interest, to assess and demonstrate the new methodologies developed in the project.ROSAS brings together 14 partners from 8 EU countries and 1 from UK. The consortium comprises 4 leading research organizations, 5 leading university groups, a Super-Computing Centre, and 3 major aeronautical industries. All partners will bring their innovativeness, infrastructures, and long experience in design and aerodynamics modelling, ensuring industrial exploitation of results by exploring new aircraft and engine concepts more effectively. 1 SME will bring experience in project management, communication, and exploitation.|10.3030/101138319|Cluster 5
101191726|KeratOPrinter|Advanced 4D Printing Technologies in Corneal Regeneration: A Pathway to Restored Vision|2025-01-01|2029-12-31|7999581,25|HORIZON.2.1|HORIZON-HLTH-2024-TOOL-11-02|HORIZON-HLTH-2024-TOOL-11|HORIZON-HLTH-2024-TOOL-11|HORIZON-RIA|Corneal blindness is the 3rd leading cause of blindness globally, affecting >11.7mi people. Although the cornea is the most transplanted tissue, only 1-in-70 patients in need receive a cornea due to a severe shortage of donor tissue.3D bioprinting offers an attractive solution. However, existing technology cannot mimic the complexity of cornea tissue, which is necessary to reproduce its optomechanical & biological functionality.The KeratOPrinter project thus, proposes a highly ambitious approach to develop a 4D bioprinting suite that can deliver a fully functional, biocompatible, full-thickness native-like human cornea. The consortium combines world-class partners to provide:a) An innovative & scalable cell source with high cell viability & native-like functionality in vivo for the different cell types in the cornea; b) Several multi-material bioink formulations which can reproduce the native-environment heterogeneity & extracellular matrix to deliver the optical, mechanical & biological functionality; c) Single-cell bioprinting resolution with µm accuracy & in-process monitoring for clinical-level quality control at viable printing speeds; d) Clinical handling technology for transportation, logistics & surgical implementation, supported by complementary implementation of multiple bioprinting technologies; e) GMP-compliant cell manufacturing and bioprinting technologies supported by in vivo & GLP studies for fast translation to the clinical environment; f) Early regulatory engagement augmented by a thorough regulatory and ethical analysis culminating in a comprehensive regulatory pathway to support future commercialisation and g) A dedicated community of researchers, clinicians, healthcare providers, regulatory and standardisation bodies, patient groups, technology developers, & industry to translate project results into targeted outcomes & long-term impacts.Ultimately, KeratOPrinter aims to enable millions of people to receive vision-saving therapy by 2035.|10.3030/101191726|Cluster Health
101191866|GEN1200|Ultra-Efficient Highly-Integrated 1200V Powertrains for Electric Vehicles Enabling Next-Gen Charging Speeds and Compatibility Across Charger Generations|2024-12-01|2027-11-30|4999722,5|HORIZON.2.5|HORIZON-CL5-2024-D5-01-02|HORIZON-CL5-2024-D5-01|HORIZON-CL5-2024-D5-01|HORIZON-RIA|Current mass-market electric vehicles (EVs) commonly operate at a voltage level of 400V. There is however a clear trend to increase the voltage level towards 800V and beyond, as these higher voltages allow for faster charging and lower thermal loads in the system. GEN1200 will focus on modular and scalable 1700V SiC-based power electronics solutions for highly-integrated 1200V powertrains, encompassing technologies for ultra-fast charging while ensuring compatibility with existing charging infrastructure, maximally exploiting the opportunities enabled by higher voltages. The project activities will particularly result in: (i) innovative 1700V SiC power electronics systems with multiple use of components, e.g., the traction inverter will also embed the functionality of backwards compatibility with 400V or 800V DC charging and on-board AC charging; (ii) 1200V electric axle solutions with electrical, thermal and mechanical integration of the power electronics, electric machine, mechanical transmission, and a selection of auxiliaries; (iii) ultra-fast 350 kW charging of novel 10C battery modules with integrated electronics and a modular wireless battery management system for 1200V battery packs. Innovations will be tailored to C-segment vehicles but extrapolation towards other segments will be considered. All activities will be supported by the development of digital twins, as well as control solutions tailored to 1200V systems and for reducing power losses in partial load, and life cycle analysis. Innovative testing methodologies, combining classical component and system characterisation, x-in-the-loop, and experimental vehicle assessment, will cover the wide range of relevant aspects, including efficiency, durability, electromagnetic compatibility and interference, as well as charging performance and sustainability. GEN1200 will leverage the complementary competences and exploitation potential of 3 academic partners, 1 RTO, 2 SMEs and 2 large industrial players.|10.3030/101191866|Cluster 5
101160663|STARTREC|Space, domesTic and industriAl applications with impRoved TheRmoElectric Components|2025-01-01|2028-12-31|2972802,75|HORIZON.2.5|HORIZON-CL5-2023-D3-03-01|HORIZON-CL5-2023-D3-03|HORIZON-CL5-2023-D3-03|HORIZON-RIA|In the context of the energy transition, the interest for thermoelectric generators (TEG) is increasing, as they are able to tap into renewable or waste heat sources with very low impact. So far, wide-scale applicability of TE devices was limited by their low conversion efficiency, typically 5% at system level at the most. STARTREC will develop and evaluate a new generation of TEG based on the optimal combination of nanostructured Si85Ge15 thermoelectric materials with innovative device architectures designed by simulation:1) Three different materials processing routes using nanostructuration to increase material performances: Additive Manufacturing (AM); Nanostructured Rapid Casting (Nano-RC); Optimized Rapid Casting (O-RC); 2) Innovative device architectures, such as complex forms and cascade architectures, which can considerably improve both their performance and their optimal temperature ranges, and so increase their efficiencies and potential for wider applications.STARTREC aims at doubling TEG efficiencies up to 10% at system level (15% at device level). It will demonstrate their high-performances in relevant environments at TRL5 for three different and complementary high impact use cases (industrial, domestic and space). Technical work will be completed by dedicated life cycle studies to address economic and environmental issues for these TEGs. A strong dissemination and exploitation strategy and novel circular business models will allow the developed solution to open new application opportunities in other sectors. With TEGs produced and commercialized by European industrial leaders, reinforcing EU strategic autonomy in renewable energy technologies, STARTREC has a complete value-chain with two RTOs, two universities, one technological SME and three industrial end-users.STARTREC will serve a global TEG market valued at 447.1 million € in 2020 and forecasted to reach 1365.8 million € by 2030.|10.3030/101160663|Cluster 5
101191666|DEFENDER|Identification of novel viral entry factors and development of antiviral approaches|2025-01-01|2029-12-31|7949326,25|HORIZON.2.1|HORIZON-HLTH-2024-DISEASE-08-20|HORIZON-HLTH-2024-DISEASE-08|HORIZON-HLTH-2024-DISEASE-08|HORIZON-RIA|DEFENDER will address the need for innovative intervention strategies against viruses with epidemic potential, by adopting a comprehensive and integrative platform approach. DEFENDER’s revolutionary Research and Innovation pipeline will focus on preventing virus entry through a host-directed bottom-up approach based on functional genetics in parallel to a top-down virus glycoprotein-centered approach. We will identify novel host dependency and restriction factors, including receptors and proteins involved in viral attachment and binding, endosomal uptake and virus genome uncoating, as targets for antiviral therapy. In parallel, we will use recombinant viral glycoproteins to identify broadly neutralizing nanobodies and novel epitopes for the AI-based design of next generation immunogens and the improvement of therapeutic antibodies. The host bottom-up functional genetic approach will be applied to Nipah, Lassa, Zika, Dengue, Yellow fever, and Chikungunya viruses. Host factors will be identified using a unique arrayed CRISPR perturbation platform, combined with advanced statistical and machine learning approaches and mathematical modelling, mechanistic experiments, and cutting-edge imaging techniques. In parallel, the virus top-down glycoprotein-centered approach will lead to the identification and structural characterization of broadly neutralizing nanobodies targeting conserved epitopes of the glycoproteins of Nipah and Lassa viruses in pre-fusion conformation. DEFENDER will deliver innovative antiviral candidates that induce target degradation, next generation immunogens, and a novel concept to improve the activity of therapeutic antibodies, with proof-of-concept preclinical evaluation in mice. It will define the most vulnerable virus-host interactions, to deliver a robust development pipeline for novel antivirals, therapeutic antibodies, and immunogens and increase antiviral options against a wide range of priority (re-) emerging viruses.|10.3030/101191666|Cluster Health
101191683|EU4MEDTECH|European Framework for Advanced Medical Technology Evaluation and Follow-up|2024-12-01|2028-11-30|7676743,75|HORIZON.2.1|HORIZON-HLTH-2024-IND-06-08|HORIZON-HLTH-2024-IND-06|HORIZON-HLTH-2024-IND-06|HORIZON-RIA|The Medical Devices Regulation (MDR) and In Vitro Diagnostic Medical Devices Regulation (IVDR) have been introduced, replacing previous MD and IVD Directives to strengthen the EU regulatory framework, ensuring the highest levels of patient safety and smooth functioning of the single market for these products. Yet, this regulatory update comes with challenges arising from the increased regulatory burden and strain across various actors in the EU HealthTech value chain.To overcome these hurdles, in EU4MEDTECH, we will co-create (with an a-priori established Stakeholder Forum) and validate “EU4MEDTECH framework”, a versatile and life cycle-oriented set of methodological approaches, standardised models, and multi-domain criteria for the generation and evaluation of clinical and performance evidence of high-risk, innovative MDs and IVDs  across pre-/post-market stages. An interactive, cloud-based digital platform will be designed and developed to operationalise EU4MEDTECH framework. The latter will include further features, such as a regulatory communication channel, a global regulatory search feature, a user training feature for EUDAMED stakeholders and a repository. EU4MEDTECH framework and recommendations for new common specifications, once integrated into the digital platform, will be evaluated within 3 different Use Cases (UCs). UC1 will focus on class III and implantable MDs, UC2 will target class C/D IVDs, whereas UC3 will focus on MD and IVD software (MDSW/IVDSW) and other highly innovative devices. 3 clinical studies will be performed in the context of UC3. Similarly, the digital platform will be evaluated through a Proof-of-Concept (PoC) study. Key MedTech stakeholders will be engaged in co-design throughout the project activities. A comprehensive exploitation roadmap will be developed to ensure that project results are widely and equitably adopted, scalable, and sustainable.|10.3030/101191683|Cluster Health
101191315|COMBAT|Advancing Pandemic Preparedness: Innovative Multidisciplinary Strategies for COMBATing Severe Dengue|2024-11-01|2029-10-31|7999992,5|HORIZON.2.1|HORIZON-HLTH-2024-DISEASE-08-20|HORIZON-HLTH-2024-DISEASE-08|HORIZON-HLTH-2024-DISEASE-08|HORIZON-RIA|The rapid increase in dengue fever incidence poses a formidable challenge to global public health, with an estimated 100 million symptomatic infections annually and a geographical spread predicted to widen due to climate change and urbanization. The COMBAT initiative, a pioneering European Research Constellation, aims to address this by leveraging advanced technologies and knowledge from endemic regions to develop innovative solutions for dengue prevention and treatment. This project advances super-resolution microscopy to observe rare events in host-virus interactions and introduces novel brain-on-chip technology for in-depth dengue pathogenesis modeling. It focuses on developing innovative antiviral strategies to target dengue virus (DENV) entry and mitigate cytokine storms through host-directed therapy. Furthermore, it leverages multi-omics strategies to identify early predictive biomarkers of severe dengue and develop artificial intelligence tools with the aim of crafting comprehensive policies for the EU’s pandemic preparedness. COMBAT employs a unique experimental strategy that integrates cutting-edge technologies such as super-resolution optical microscopy, AI, and machine learning for advanced modeling of the dengue virus-host interactions and early prediction of severe outcomes. By combining efforts in drug repurposing, development of a brain-on-chip model for neuropathogenesis studies, and employing nanoscale imaging for in-depth analysis of the virus's impact, COMBAT represents a significant leap forward in the fight against dengue. The project not only aims to enhance our understanding of the disease but also to create scalable and affordable tools for pandemic preparedness, setting a new standard in interdisciplinary research to COMBAT viral epidemics.|10.3030/101191315|Cluster Health
